,name,mileage,year,gearbox,transmission,horsepower,fuel,price
285,Audi Q3 Sportback Business Line,122 000 km,2021,Automatique,Traction,9 cv,Essence,135000.0
286,BMW X5,295 000 km,2007,Automatique,Traction,16 cv,Diesel,47000.0
287,Toyota Land Cruiser 80,506 000 km,1996,Manuelle,Traction,17 cv,Diesel,67000.0
288,BMW Série 3,177 000 km,2018,Automatique,Traction,7 cv,Essence,78000.0
289,BMW Série 5,179 000 km,2013,Automatique,Traction,10 cv,Essence,79500.0
290,Mercedes-Benz CLA Urban,48 000 km,2018,Automatique,Traction,7 cv,Essence,99000.0
291,Mercedes-Benz Classe S,151 000 km,2008,Automatique,Traction,19 cv,Essence,95000.0
292,Skoda Octavia Style,30 000 km,2022,Automatique,Traction,8 cv,Essence,109000.0
293,Mahindra Scorpio SUV,353 000 km,2013,Manuelle,Intégrale,8 cv,Diesel,29500.0
294,BMW Série 5 Luxury Line,47 000 km,2019,Automatique,Propulsion,10 cv,Essence,180000.0
295,Tesla Model Y,19 200 km,2024,Automatique,Propulsion,9 cv,Electrique,121000.0
296,KIA XCeed SX,102 000 km,2022,Automatique,Traction,7 cv,Diesel,78000.0
297,KIA Stonic SX,130 000 km,2022,Manuelle,Traction,6 cv,Essence,64000.0
298,Nissan Qashqai,270 000 km,2011,Manuelle,Traction,6 cv,Diesel,35000.0
299,BMW Série 7 Pure Excellence,111 000 km,2022,Automatique,Propulsion,16 cv,Essence,270000.0
300,GWM Haval H6 Luxury,90 000 km,2020,Automatique,Traction,9 cv,Essence,66000.0
301,Mercedes-Benz Classe C Business,348 000 km,2014,Automatique,Propulsion,8 cv,Essence,69000.0
302,Mazda 2 Sedan,239 000 km,2016,Manuelle,Traction,6 cv,Essence,30500.0
303,Peugeot 208 Allure,29 000 km,2021,Manuelle,Traction,5 cv,Essence,45000.0
304,Chery Tiggo 8 Pro,76 000 km,2023,Automatique,Traction,11 cv,Essence,84000.0
305,Hyundai Grand i10 High Grade,100 000 km,2023,Manuelle,Traction,5 cv,Essence,45500.0
306,BMW X5 Business Line Plus,112 000 km,2020,Automatique,Intégrale,14 cv,Diesel,250000.0
307,Land Rover Range Rover Sport HSE Dynamic,90 000 km,2021,Automatique,Intégrale,25 cv,Essence,280000.0
308,GWM Haval H6 Luxury,94 000 km,2020,Automatique,Traction,9 cv,Essence,70000.0
309,Suzuki Jimny 3 portes GL,76 000 km,2023,Automatique,Intégrale,6 cv,Essence,85000.0
310,Mercedes-Benz Classe E Avantgarde,65 000 km,2018,Automatique,Traction,10 cv,Diesel,110000.0
311,Mercedes-Benz Classe E Avantgarde,183 000 km,2012,Automatique,Traction,8 cv,Diesel,62500.0
312,Audi Q5 S-line,72 000 km,2021,Automatique,Intégrale,16 cv,Hybride,155000.0
313,Mahindra KUV 100 K8,100 000 km,2021,Manuelle,Traction,5 cv,Essence,28000.0
314,Mini Countryman,57 800 km,2021,Automatique,Intégrale,6 cv,Hybride,108000.0
315,BMW X3 Luxury Line,25 000 km,2019,Automatique,Propulsion,11 cv,Essence,158000.0
316,Seat Arona Xcellence,120 000 km,2021,Manuelle,Traction,6 cv,Essence,62000.0
317,MG ZS Luxe,130 000 km,2020,Automatique,Traction,7 cv,Essence,57200.0
318,Seat Ibiza Style,47 000 km,2024,Manuelle,Traction,6 cv,Essence,65000.0
319,Skoda Kamiq Active,37 000 km,2021,Manuelle,Traction,5 cv,Essence,75000.0
320,Volkswagen Golf 8,149 500 km,2021,Automatique,Traction,8 cv,Hybride,82000.0
321,GWM Haval Jolion,125 000 km,2021,Automatique,Traction,9 cv,Essence,66000.0
322,Hyundai Grand i10 High Grade,138 000 km,2020,Automatique,Traction,5 cv,Essence,42000.0
323,BMW X1 Pack Sport M,158 000 km,2015,Manuelle,Propulsion,9 cv,Essence,58000.0
324,Volkswagen Amarok Highline Plus Double Cabine,150 000 km,2017,Automatique,Intégrale,7 cv,Diesel,108000.0
325,Mercedes-Benz Classe C AMG +,175 000 km,2014,Automatique,Propulsion,9 cv,Essence,75000.0
326,Jetour T2,1 000 km,2026,Automatique,Intégrale,8 cv,Hybride,185000.0
327,KIA Sportage GT-Line,98 000 km,2022,Automatique,Intégrale,8 cv,Hybride,118000.0
328,BMW X2 Pack M,50 000 km,2022,Automatique,Intégrale,8 cv,Hybride,129000.0
329,BMW Série 4 Gran Coupé Luxury Line,63 000 km,2019,Automatique,Propulsion,7 cv,Essence,115000.0
330,Peugeot 3008 Allure,93 000 km,2021,Automatique,Traction,10 cv,Hybride,91000.0
331,Volkswagen Polo,227 000 km,2011,Manuelle,Traction,5 cv,Essence,27000.0
332,DS 3 Be Chic,151 000 km,2018,Manuelle,Traction,5 cv,Essence,27000.0
333,Fiat 500 Dolcevita,81 000 km,2022,Automatique,Traction,4 cv,Essence,48500.0
334,Mercedes-Benz Classe E,90 000 km,2017,Automatique,Traction,10 cv,Essence,115000.0
335,Mercedes-Benz Classe E coupé,187 000 km,2010,Automatique,Traction,11 cv,Essence,54000.0
336,Fiat 500,163 000 km,2010,Manuelle,Traction,4 cv,Essence,28500.0
337,BMW Série 3 Business Line Edition Navigation,153 000 km,2016,Automatique,Propulsion,7 cv,Essence,64000.0
338,Mercedes-Benz Classe A,177 000 km,2023,Automatique,Traction,9 cv,Hybride,78000.0
339,Chery Tiggo 2 Confort,89 000 km,2019,Manuelle,Traction,6 cv,Essence,42500.0
340,Mercedes-Benz CLA AMG,26 000 km,2024,Automatique,Traction,9 cv,Essence,165000.0
341,Volkswagen Tiguan R-Line,22 000 km,2025,Automatique,Traction,9 cv,Hybride,169000.0
342,Nissan Patrol,150 000 km,1995,Manuelle,Traction,9 cv,Diesel,38000.0
343,Land Rover Range Rover Sport,192 000 km,2014,Automatique,Traction,19 cv,Diesel,120000.0
344,Audi Q3 Ambiente,129 000 km,2018,Automatique,Traction,8 cv,Essence,68000.0
345,KIA XCeed,101 000 km,2022,Automatique,Traction,7 cv,Diesel,79000.0
346,Chery Tiggo 3X Luxury,35 000 km,2021,Automatique,Traction,6 cv,Essence,56000.0
347,Nissan Qashqai+2 Tekna,147 000 km,2021,Automatique,Traction,6 cv,Essence,66000.0
348,Toyota Hilux Simple Cabine,330 000 km,2009,Manuelle,Traction,10 cv,Diesel,69000.0
349,Renault Twingo,125 000 km,2021,Manuelle,Traction,4 cv,Essence,34800.0
350,BMW X3,171 000 km,2018,Automatique,Intégrale,16 cv,Diesel,105000.0
351,Alfa Romeo Giulietta,202 000 km,2011,Manuelle,Traction,7 cv,Essence,29800.0
352,Porsche Cayenne,179 000 km,2012,Automatique,Traction,21 cv,Essence,98000.0
353,Fiat 500,78 000 km,2018,Manuelle,Traction,4 cv,Essence,37000.0
354,Peugeot 508,270 000 km,2012,Automatique,Traction,7 cv,Essence,34500.0
355,KIA Sportage,128 000 km,2019,Automatique,Traction,8 cv,Essence,77000.0
356,Mercedes-Benz CLA,178 000 km,2013,Automatique,Traction,8 cv,Essence,65500.0
357,Hyundai i30,79 000 km,2023,Automatique,Traction,7 cv,Essence,68000.0
358,Land Rover Range Rover Velar,51 000 km,2019,Automatique,Intégrale,16 cv,Essence,190000.0
359,BMW Série 5,155 000 km,2017,Automatique,Intégrale,15 cv,Diesel,114000.0
360,Skoda Octavia Style,7 000 km,2023,Automatique,Traction,8 cv,Essence,88500.0
361,Suzuki Vitara,173 000 km,2005,Automatique,Traction,10 cv,Essence,45000.0
362,BMW X1,64 000 km,2021,Automatique,Traction,8 cv,Essence,116000.0
363,Volkswagen Golf 7,240 000 km,2015,Automatique,Traction,6 cv,Essence,46500.0
364,Hyundai Tucson,185 000 km,2012,Automatique,Traction,11 cv,Essence,44500.0
365,Audi A5 Coupé,275 000 km,2011,Automatique,Traction,10 cv,Essence,52000.0
366,Nissan Qashqai,197 000 km,2015,Manuelle,Traction,6 cv,Essence,45500.0
367,Land Rover Range Rover Evoque,159 000 km,2017,Automatique,Traction,8 cv,Diesel,90000.0
368,KIA Sportage EX,91 000 km,2023,Automatique,Traction,10 cv,Essence,109000.0
369,Land Rover Range Rover Evoque,32 000 km,2021,Automatique,Intégrale,11 cv,Hybride,158000.0
370,Ford Ranger Raptor,100 000 km,2022,Automatique,Intégrale,7 cv,Diesel,180000.0
371,Land Rover Discovery,151 000 km,2015,Automatique,Traction,9 cv,Diesel,82000.0
372,Honda CR-V,143 000 km,2014,Manuelle,Traction,6 cv,Diesel,54000.0
373,Mercedes-Benz Classe C,213 000 km,2016,Automatique,Traction,9 cv,Diesel,94000.0
374,Land Rover Range Rover Sport SVR,170 000 km,2018,Automatique,Traction,44 cv,Essence,290000.0
375,GWM Haval H6,77 000 km,2022,Automatique,Traction,8 cv,Essence,94000.0
376,Volkswagen Golf 8 GTE,77 000 km,2021,Automatique,Traction,6 cv,Hybride,99000.0
377,Jeep Renegade Limited,102 000 km,2018,Automatique,Traction,8 cv,Essence,59000.0
378,Fiat 500 Pop,102 000 km,2019,Manuelle,Traction,4 cv,Essence,41000.0
379,Land Rover Range Rover Sport Autobiography,103 000 km,2019,Automatique,Intégrale,17 cv,Hybride,190000.0
380,Nissan X-trail,357 000 km,2004,Manuelle,Intégrale,9 cv,Diesel,33500.0
381,Ssangyong Tivoli Classy,23 000 km,2021,Manuelle,Traction,6 cv,Essence,68500.0
382,Land Rover Range Rover Sport SVR,196 000 km,2015,Automatique,Intégrale,43 cv,Essence,150000.0
383,Audi E-tron Advanced,72 000 km,2020,Automatique,Intégrale,12 cv,Electrique,135000.0
384,Jeep Wrangler Unlimited Raidtrail,90 000 km,2019,Automatique,Intégrale,10 cv,Diesel,205000.0
385,Mercedes-Benz EQS Berline AMG,5 000 km,2023,Automatique,Propulsion,8 cv,Electrique,297000.0
386,Peugeot 2008,65 000 km,2021,Automatique,Traction,6 cv,Essence,68000.0
387,BMW Série 5 Business Line,280 000 km,2011,Manuelle,Propulsion,10 cv,Diesel,60000.0
388,KIA Sportage,112 000 km,2020,Automatique,Traction,8 cv,Essence,79000.0
389,Porsche Cayenne Black Edition,187 000 km,2009,Automatique,Intégrale,21 cv,Essence,53000.0
390,Toyota Prado Adventure,400 000 km,2009,Manuelle,Intégrale,12 cv,Diesel,92000.0
391,Mercedes-Benz GLC Coupé AMG,128 000 km,2016,Automatique,Intégrale,9 cv,Diesel,115000.0
392,Volkswagen Golf 7 Access,100 000 km,2020,Manuelle,Traction,6 cv,Essence,66000.0
393,Land Rover Range Rover Evoque,90 000 km,2016,Manuelle,Traction,8 cv,Diesel,90000.0
394,Peugeot 3008 Gt,96 000 km,2022,Automatique,Intégrale,11 cv,Hybride,108000.0
395,Ford Ecosport Titanium,28 000 km,2022,Manuelle,Traction,7 cv,Essence,70000.0
396,Porsche Panamera Executive,140 000 km,2010,Automatique,Intégrale,30 cv,Essence,165000.0
397,Ford Mustang Roush,65 000 km,2018,Automatique,Propulsion,19 cv,Essence,175000.0
398,Mercedes-Benz Classe E coupé,60 000 km,2011,Automatique,Propulsion,12 cv,Essence,45000.0
399,Ssangyong Tivoli iLOVIT,8 500 km,2025,Automatique,Traction,8 cv,Essence,74000.0
400,BMW Série 3 Pack M Sport,33 600 km,2024,Automatique,Intégrale,9 cv,Hybride,140000.0
401,Audi A7 Sportback S-Line,43 900 km,2024,Automatique,Intégrale,17 cv,Hybride,185000.0
402,Volkswagen T-roc Style,6 200 km,2025,Manuelle,Traction,6 cv,Essence,105000.0
403,Seat Ibiza Style Plus,144 000 km,2018,Manuelle,Traction,4 cv,Essence,51000.0
404,Suzuki Celerio GL,72 000 km,2022,Automatique,Traction,4 cv,Essence,39500.0
405,Mercedes-Benz Classe X,158 000 km,2018,Manuelle,Intégrale,8 cv,Diesel,120000.0
406,Peugeot 308,51 000 km,2022,Automatique,Traction,6 cv,Essence,87000.0
407,Renault Clio,28 000 km,2025,Manuelle,Traction,6 cv,Essence,59500.0
408,Volkswagen New Beetle,270 000 km,2013,Manuelle,Traction,6 cv,Essence,38000.0
409,Seat Ibiza Populaire,82 000 km,2019,Manuelle,Traction,4 cv,Essence,39500.0
410,Hyundai Tucson Top Grade,61 000 km,2022,Automatique,Intégrale,10 cv,Essence,120000.0
411,Suzuki Celerio GL,60 000 km,2022,Automatique,Traction,4 cv,Essence,29000.0
412,Peugeot 508 Active,300 000 km,2012,Automatique,Propulsion,7 cv,Essence,29000.0
413,Mercedes-Benz CLA AMG,211 000 km,2014,Automatique,Traction,7 cv,Essence,68000.0
414,Hyundai Tucson,140 000 km,2019,Automatique,Traction,8 cv,Essence,71000.0
415,BMW Série 5 Pack M Pro,51 000 km,2022,Automatique,Propulsion,10 cv,Hybride,165000.0
416,MG HS Luxury,30 000 km,2020,Automatique,Traction,10 cv,Essence,75000.0
417,BMW Série 3 Business Line,218 000 km,2016,Automatique,Traction,7 cv,Essence,59000.0
418,Dacia Duster Confort,28 000 km,2024,Automatique,Traction,6 cv,Diesel,
419,Mercedes-Benz CLE Coupé AMG +,18 650 km,2025,Automatique,Propulsion,11 cv,Hybride,217000.0
420,Opel Mokka GS,23 500 km,2023,Automatique,Traction,7 cv,Essence,77000.0
421,Mercedes-Benz CLA AMG Edition 1,39 520 km,2024,Automatique,Traction,9 cv,Hybride,146000.0
422,BYD Tang Supreme,306 km,2026,Automatique,Traction,8 cv,Hybride,159000.0
423,Mercedes-Benz GLC Coupé AMG,21 652 km,2025,Automatique,Intégrale,11 cv,Hybride,269000.0
424,KIA Picanto LX,97 061 km,2020,Manuelle,Traction,5 cv,Essence,43000.0
425,Mercedes-Benz Classe C AMG +,28 200 km,2023,Automatique,Intégrale,11 cv,Hybride,176000.0
426,Toyota RAV 4 Hybride,0 km,2026,Automatique,Intégrale,11 cv,Hybride,225000.0
427,BMW X3 Pack Sport M,58 000 km,2021,Automatique,Intégrale,10 cv,Hybride,155000.0
428,Ssangyong Rexton,277 580 km,2015,Automatique,Intégrale,10 cv,Diesel,55000.0
429,Hyundai Tucson Executive,157 230 km,2020,Automatique,Traction,7 cv,Hybride,75000.0
430,Audi A6 Ambition Luxe,184 529 km,2015,Automatique,Traction,10 cv,Essence,65000.0
431,Hyundai Grand i10 Populaire,26 351 km,2024,Manuelle,Traction,4 cv,Essence,46000.0
432,Mercedes-Benz GLA AMG,11 565 km,2025,Automatique,Traction,9 cv,Hybride,182000.0
433,Toyota C-HR,59 070 km,2025,Automatique,Traction,8 cv,Hybride,135000.0
434,KIA Sportage SX,65 119 km,2024,Automatique,Traction,7 cv,Hybride,125000.0
435,Mercedes-Benz Classe A AMG Premium,36 854 km,2023,Automatique,Traction,9 cv,Hybride,135000.0
436,Mercedes-Benz CLA AMG Edition 1,38 509 km,2021,Automatique,Traction,8 cv,Hybride,135000.0
437,GWM Haval Jolion,40 097 km,2022,Automatique,Traction,9 cv,Essence,78000.0
438,Mercedes-Benz GLE Coupé AMG Premium Plus,13 852 km,2025,Automatique,Intégrale,15 cv,Hybride,360000.0
439,KIA Sportage GT-Line,0 km,2026,Automatique,Intégrale,10 cv,Hybride,179000.0
440,Volkswagen Golf 8 Style,130 143 km,2021,Automatique,Traction,8 cv,Essence,89000.0
441,Volkswagen T-roc,60 727 km,2021,Automatique,Traction,6 cv,Essence,83000.0
442,BYD Seal Comfort,10 900 km,2026,Automatique,Traction,9 cv,Hybride,137000.0
443,Mercedes-Benz CLA AMG Edition 1,15 788 km,2025,Automatique,Traction,9 cv,Hybride,176000.0
444,Porsche Cayenne Coupé Black Edition,42 274 km,2023,Automatique,Intégrale,22 cv,Hybride,330000.0
445,Seat Ibiza Style,164 285 km,2020,Manuelle,Traction,4 cv,Essence,44000.0
446,BMW Série 3 Pack M,17 403 km,2023,Automatique,Traction,9 cv,Hybride,146000.0
447,Mercedes-Benz GLC Coupé AMG,62 965 km,2021,Automatique,Intégrale,12 cv,Hybride,169000.0
448,Peugeot 208 Active,171 000 km,2021,Manuelle,Traction,5 cv,Diesel,51000.0
449,Mercedes-Benz CLA AMG Edition 1,14 086 km,2024,Automatique,Traction,9 cv,Hybride,159000.0
450,Mercedes-Benz EQA AMG Line,40 693 km,2021,Automatique,Traction,6 cv,Electrique,120000.0
451,Mercedes-Benz Classe C Avantgarde,97 782 km,2022,Automatique,Propulsion,9 cv,Hybride,146000.0
452,Mercedes-Benz GLC Coupé AMG,27 098 km,2024,Automatique,Intégrale,11 cv,Hybride,278000.0
453,Mercedes-Benz GLC Coupé AMG,40 927 km,2022,Automatique,Intégrale,12 cv,Hybride,185000.0
454,Mercedes-Benz GLA,111 138 km,2021,Automatique,Traction,9 cv,Essence,125000.0
455,Mercedes-Benz Classe A Urban,168 664 km,2013,Automatique,Traction,6 cv,Essence,63000.0
456,Citroën Berlingo Live,101 981 km,2021,Manuelle,Traction,7 cv,Diesel,79000.0
457,Volkswagen ID.4,37 000 km,2022,Automatique,Traction,5 cv,Electrique,95000.0
458,Land Rover Defender 110,26 500 km,2025,Automatique,Intégrale,15 cv,Hybride,360000.0
459,Mercedes-Benz GLC AMG,9 000 km,2026,Automatique,Traction,6 cv,Electrique,320000.0
460,Jeep Wrangler Unlimited Sahara,73 582 km,2021,Automatique,Intégrale,15 cv,Hybride,205000.0
461,Mercedes-Benz GLB AMG,8 000 km,2026,Automatique,Traction,6 cv,Electrique,245000.0
462,Volkswagen Golf 8 GTE,139 502 km,2021,Automatique,Traction,8 cv,Hybride,87000.0
463,BMW X1 Pack Sport M,28 000 km,2024,Automatique,Intégrale,9 cv,Hybride,192000.0
464,Land Rover Range Rover Sport Dynamic HSE,16 700 km,2025,Automatique,Intégrale,28 cv,Hybride,400000.0
465,Mercedes-Benz GLE Coupé AMG Premium Plus,91 800 km,2021,Automatique,Intégrale,12 cv,Hybride,235000.0
466,Mercedes-Benz GLE AMG,62 250 km,2022,Automatique,Intégrale,12 cv,Hybride,230000.0
467,Audi Q3 Sportback S-Line Plus,0 km,2026,Automatique,Traction,9 cv,Hybride,238000.0
468,Land Rover Range Rover Evoque Autobiographie,30 235 km,2021,Automatique,Intégrale,11 cv,Hybride,175000.0
469,Volkswagen Multivan 6.1 Highline,60 762 km,2022,Automatique,Traction,11 cv,Essence,290000.0
470,Mercedes-Benz Classe E AMG,12 500 km,2025,Automatique,Propulsion,11 cv,Hybride,235000.0
471,Mercedes-Benz CLE Coupé AMG +,20 000 km,2024,Automatique,Propulsion,12 cv,Hybride,225000.0
472,Mercedes-Benz GLA AMG,80 423 km,2021,Automatique,Traction,8 cv,Hybride,146000.0
473,Mercedes-Benz CLA AMG Edition 1,3 588 km,2025,Automatique,Traction,8 cv,Hybride,230000.0
474,Hyundai Palisade,35 774 km,2021,Automatique,Intégrale,12 cv,Diesel,250000.0
475,Porsche Macan,56 300 km,2017,Automatique,Intégrale,15 cv,Essence,185000.0
476,Mercedes-Benz CLA AMG Edition 1,29 572 km,2025,Automatique,Traction,8 cv,Hybride,160000.0
477,Mercedes-Benz Classe C Avantgarde,42 016 km,2023,Automatique,Intégrale,9 cv,Hybride,179000.0
478,Audi Q3 Sportback S-Line,116 520 km,2020,Automatique,Traction,8 cv,Hybride,130000.0
479,Toyota Land Cruiser,216 544 km,2007,Automatique,Traction,17 cv,Diesel,129000.0
480,Mercedes-Benz GLA AMG,10 730 km,2024,Automatique,Traction,8 cv,Hybride,178000.0
481,BMW X3 Luxury Line,186 000 km,2006,Automatique,Intégrale,13 cv,Diesel,50000.0
482,Volkswagen Polo Life,49 200 km,2023,Manuelle,Traction,5 cv,Essence,79000.0
483,Volkswagen Golf 8 GTE,103 000 km,2022,Automatique,Traction,8 cv,Hybride,92000.0
484,KIA Sportage Black Edition,127 000 km,2021,Automatique,Intégrale,8 cv,Diesel,85500.0
485,Mercedes-Benz CLA AMG Edition 1,14 000 km,2025,Automatique,Traction,9 cv,Hybride,165000.0
486,Mercedes-Benz GLC Coupé Amg toi ouvrant,75 000 km,2022,Automatique,Traction,12 cv,Hybride,173000.0
487,KIA Sportage GT-Line,65 000 km,2019,Automatique,Intégrale,11 cv,Essence,95000.0
488,Ford Fiesta Titanium,200 000 km,2012,Manuelle,Traction,5 cv,Essence,28000.0
489,Fiat Grande Punto,280 000 km,2012,Manuelle,Traction,4 cv,Essence,22000.0
490,BYD Dolphin Surf,680 km,2026,Automatique,Traction,3 cv,Electrique,49500.0
491,KIA Stonic SX,42 000 km,2023,Manuelle,Traction,5 cv,Essence,70000.0
492,Mitsubishi Attrage Populaire,128 000 km,2021,Manuelle,Traction,4 cv,Essence,35000.0
493,Peugeot 208 Allure,113 000 km,2017,Manuelle,Traction,5 cv,Essence,29800.0
494,Volkswagen Multivan 6.1 Highline,250 000 km,2015,Automatique,Traction,9 cv,Diesel,85000.0
495,Audi A5 Sportback,175 000 km,2020,Automatique,Traction,8 cv,Essence,89000.0
496,Skoda Superb Sportline,99 000 km,2024,Automatique,Traction,8 cv,Essence,95000.0
497,KIA Rio 5p SX,97 000 km,2019,Manuelle,Traction,5 cv,Essence,48000.0
498,Skoda Octavia Ambition,149 000 km,2023,Automatique,Traction,8 cv,Essence,67000.0
499,Ford Fiesta Titanium Plus,168 000 km,2015,Manuelle,Traction,5 cv,Essence,33500.0
500,Hyundai Tucson High Grade,64 900 km,2023,Automatique,Intégrale,10 cv,Essence,100000.0
501,GWM Haval Jolion,7 000 km,2026,Automatique,Traction,9 cv,Essence,92000.0
502,Audi A1 S-Line,208 000 km,2013,Manuelle,Traction,5 cv,Essence,40000.0
503,Mercedes-Benz GLA AMG,20 000 km,2025,Automatique,Intégrale,9 cv,Diesel,190000.0
504,BMW X5 Pack M,100 000 km,2022,Automatique,Intégrale,17 cv,Hybride,198000.0
505,Mercedes-Benz GLA AMG Premium,40 000 km,2024,Automatique,Traction,9 cv,Hybride,159000.0
506,BMW X1 xLine,60 000 km,2023,Automatique,Intégrale,8 cv,Hybride,132000.0
507,Renault Megane Intens,209 000 km,2020,Manuelle,Traction,5 cv,Diesel,59000.0
508,Volkswagen T-Cross Highline,90 000 km,2023,Manuelle,Traction,5 cv,Essence,72000.0
509,Seat Ateca Style,90 000 km,2022,Automatique,Traction,8 cv,Essence,88000.0
510,MG ZS Luxe,70 000 km,2020,Automatique,Traction,7 cv,Essence,53500.0
511,Wallyscar 619,85 000 km,2021,Manuelle,Traction,5 cv,Essence,20400.0
512,Chery Tiggo 2 Confort,41 000 km,2021,Manuelle,Traction,6 cv,Essence,44800.0
513,Audi Q5 Sportback S-Line,68 000 km,2023,Automatique,Intégrale,16 cv,Hybride,175000.0
514,Mercedes-Benz GLE Coupé,59 000 km,2023,Automatique,Intégrale,12 cv,Hybride,315000.0
515,Land Rover Range Rover Velar,79 000 km,2022,Automatique,Intégrale,19 cv,Hybride,185000.0
516,KIA Sportage Black Edition,116 000 km,2021,Manuelle,Intégrale,6 cv,Diesel,105000.0
517,KIA Sportage,162 000 km,2018,Automatique,Traction,8 cv,Essence,69000.0
518,Suzuki Vitara GLX SR,170 000 km,2017,Automatique,Intégrale,6 cv,Essence,50000.0
519,Jaguar F-Pace PRESTIGE,144 000 km,2017,Manuelle,Propulsion,10 cv,Diesel,80000.0
520,Renault Symbol Elegance,190 000 km,2017,Manuelle,Traction,5 cv,Essence,36000.0
521,GWM M4,122 500 km,2021,Manuelle,Traction,6 cv,Essence,39500.0
522,Fiat Fiorino,77 000 km,2022,Manuelle,Traction,5 cv,Diesel,37000.0
523,Hyundai Grand i10 Populaire,29 900 km,2023,Manuelle,Traction,4 cv,Essence,41500.0
524,Renault Symbol Confort,133 000 km,2012,Manuelle,Traction,5 cv,Essence,26000.0
525,Alfa Romeo Giulietta,88 000 km,2019,Automatique,Traction,9 cv,Essence,46500.0
526,Mercedes-Benz GLA,176 000 km,2020,Automatique,Traction,7 cv,Hybride,105000.0
527,Ford Fiesta Titanium,54 630 km,2016,Manuelle,Traction,5 cv,Essence,42000.0
528,MG GT,28 200 km,2023,Automatique,Traction,9 cv,Essence,65000.0
529,Audi A4 Design,215 000 km,2016,Manuelle,Traction,7 cv,Essence,50000.0
530,KIA Rio 5p Smart,115 000 km,2022,Manuelle,Traction,5 cv,Essence,49000.0
531,Skoda Kushaq Style,29 000 km,2024,Automatique,Traction,7 cv,Essence,82900.0
532,Volkswagen Golf 7 Confortline,100 000 km,2016,Manuelle,Traction,6 cv,Essence,63000.0
533,Mercedes-Benz GLC Coupé AMG,37 000 km,2023,Automatique,Intégrale,12 cv,Hybride,255000.0
534,Mercedes-Benz CLA,160 000 km,2017,Manuelle,Propulsion,8 cv,Essence,66000.0
535,Fiat Fiorino,52 000 km,2021,Manuelle,Traction,5 cv,Diesel,35500.0
536,Volkswagen Golf 8 R-Line,7 800 km,2026,Automatique,Intégrale,8 cv,Essence,
537,Peugeot 308,138 000 km,2014,Manuelle,Traction,7 cv,Essence,35000.0
538,Chevrolet Sonic,87 000 km,2021,Manuelle,Traction,5 cv,Essence,39000.0
539,KIA Picanto Populaire,165 000 km,2022,Manuelle,Traction,4 cv,Essence,35000.0
540,Mercedes-Benz Classe C AMG +,308 000 km,2010,Manuelle,Traction,9 cv,Essence,46500.0
541,Chery Tiggo 3X Comfort,29 000 km,2024,Manuelle,Traction,6 cv,Essence,54900.0
542,GWM Haval Jolion,49 000 km,2024,Automatique,Traction,9 cv,Essence,83000.0
543,Mercedes-Benz GLC AMG,253 000 km,2018,Automatique,Intégrale,9 cv,Diesel,103000.0
544,Mercedes-Benz GLA AMG,118 000 km,2022,Automatique,Traction,8 cv,Hybride,115000.0
545,Honda HR-V LX Confort,99 000 km,2019,Automatique,Traction,7 cv,Essence,60000.0
546,Mazda 2,153 000 km,2014,Manuelle,Traction,5 cv,Essence,36000.0
547,KIA Picanto Populaire,59 500 km,2021,Manuelle,Traction,4 cv,Essence,38800.0
548,Renault Velsatis Expression,286 000 km,2003,Manuelle,Traction,7 cv,Diesel,18000.0
549,Jeep Wrangler Sahara,97 000 km,2022,Automatique,Intégrale,17 cv,Hybride,170000.0
550,Mercedes-Benz Classe C AMG,60 000 km,2018,Automatique,Traction,10 cv,Hybride,130000.0
551,Mercedes-Benz Classe A AMG Premium,2 250 km,2026,Automatique,Traction,9 cv,Hybride,167500.0
552,Mercedes-Benz CLS,241 000 km,2012,Automatique,Propulsion,11 cv,Diesel,85000.0
553,KIA Sportage,139 000 km,2020,Automatique,Traction,8 cv,Essence,77000.0
554,Ford Focus sedan Titanium,117 000 km,2016,Manuelle,Traction,6 cv,Essence,40000.0
555,Opel Astra Elegance,45 000 km,2022,Manuelle,Traction,6 cv,Essence,62500.0
556,Toyota RAV 4 Hybride,40 000 km,2025,Automatique,Traction,9 cv,Hybride,
557,Mercedes-Benz GLA,43 000 km,2024,Automatique,Traction,9 cv,Hybride,165000.0
558,GWM Haval H6 Luxury,214 000 km,2017,Automatique,Traction,9 cv,Essence,42000.0
559,Renault Clio Dynamique,118 211 km,2015,Manuelle,Traction,5 cv,Essence,36000.0
560,Wallyscar Wolf,56 000 km,2024,Automatique,Traction,9 cv,Essence,90000.0
561,Citroën Jumpy Fourgon Ras,119 000 km,2021,Manuelle,Traction,9 cv,Diesel,70000.0
562,Hyundai Grand i10 High Grade,150 000 km,2022,Manuelle,Traction,5 cv,Essence,39500.0
563,Mercedes-Benz Classe C Avantgarde,215 000 km,2010,Automatique,Propulsion,9 cv,Essence,45000.0
564,MG ZS Luxe,200 500 km,2019,Automatique,Traction,7 cv,Essence,49000.0
565,Hyundai Grand i10 Populaire,35 000 km,2023,Manuelle,Traction,4 cv,Essence,42000.0
566,KIA Rio Berline LX,165 000 km,2015,Manuelle,Traction,5 cv,Essence,32000.0
567,Land Rover Range Rover Evoque R-Dynamic,200 000 km,2014,Automatique,Intégrale,9 cv,Diesel,75000.0
568,BMW X1 xLine,80 000 km,2023,Automatique,Traction,9 cv,Essence,
